StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX
9,9,201304,4.41,66.2,1.5,-0.81,1.12,1.22,82,46,0.81,0.4,1.34,0.25,0.13,0.62,-0.76,54,78.4
9,9,201305,3.12,71.2,1.3,-0.77,-0.14,1.08,198,5,0.06,0.43,0.23,0.43,-0.39,0.14,-0.54,60,82.4
9,9,201306,7.93,80.1,1.97,1.97,2.41,1.97,453,0,1.27,0.76,1.01,0.94,0.32,0,-0.23,70.8,89.4
9,9,201307,8.7,80.7,2.59,2.59,2.47,2.59,487,0,1.14,1.72,1.28,1.82,0.85,0.7,0.11,72.2,89.2
9,9,201308,7.44,81.2,2.74,2.74,1.27,2.74,502,0,0.66,1.18,1.58,1.22,1.23,0.48,0.5,72.1,90.3
9,9,201309,2.95,77.3,1.97,1.97,-1.47,1.29,369,0,-0.74,-0.15,0.45,0.88,0.94,0.43,0.27,68.1,86.6
9,9,201310,0.85,68.3,1.15,1.15,-1.84,-0.31,140,38,-1.1,-1.38,-0.75,0.29,0.99,0.33,0.01,57.3,79.3
9,9,201311,3.17,58.2,1.39,1.39,1.05,0.36,24,228,0.84,-0.24,-0.81,0.59,0.51,0.66,0.13,47.2,69.2
9,9,201312,3.01,56.8,1.15,1.15,-0.28,0.02,33,287,0.08,0.52,-0.19,0.19,0.59,0.69,0.4,45.4,68.1
9,9,201401,4,46.1,1.43,1.43,1.2,0.72,10,596,0.44,0.29,0.56,-0.15,0.51,1.07,0.59,34.8,57.4
9,9,201402,2.71,54.7,0.99,0.99,-0.87,-0.01,20,308,-0.36,-0.04,-0.06,-0.61,0.43,0.4,0.6,42.9,66.5
9,9,201403,4.08,56.4,0.96,0.96,0.22,0.05,20,287,0.21,-0.16,0.05,-0.06,0.16,0.52,0.56,44.1,68.7
9,9,201404,7.95,66.4,2.33,2.33,4.4,2.33,86,44,2,1.45,1.08,1.04,0.46,0.93,1.11,54.6,78.2
9,9,201405,3.35,74,-0.11,1.98,-0.33,1.77,279,0,0.17,1.56,1.22,0.86,0.25,0.94,0.8,62,86
9,9,201406,4.07,80.3,-0.52,1.36,-1.26,0.53,459,0,-0.78,-0.51,0.99,0.63,0.39,0.53,0.33,69.6,91
9,9,201407,4.21,82,-1.33,-1.33,-2.6,-1.33,527,0,-1.17,-1.33,-1.1,0.12,0.42,-0.06,0.41,71.7,92.2
9,9,201408,5.03,82,-1.84,-1.84,-1.92,-1.84,527,0,-0.45,-1.33,-1.49,0.05,0.03,-0.43,-0.01,71.5,92.5
9,9,201409,8.27,77.8,0.54,-1.1,1.63,-0.25,384,0,1.14,0.7,0.07,0.59,0.48,0.3,0.46,68.8,86.8
9,9,201410,1.6,68.7,0.09,-1.39,-1.2,-1.05,148,34,-0.54,0.6,0.27,-0.57,0.19,0.39,0.45,56,81.4
9,9,201411,4.94,54.4,1.2,1.2,3.37,1.2,9,327,1.64,0.63,1.16,0.08,0.73,0.61,0.87,41.2,67.6
9,9,201412,4.06,55.1,1.5,1.5,1.25,1.5,23,330,0.64,1.37,0.75,0.52,0.85,0.74,0.99,43.8,66.4
9,9,201501,3.66,49.8,1.57,1.57,0.68,1.57,19,490,0.27,0.52,1.14,0.88,0.21,0.68,1.2,39,60.6
