StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX
8,2,201304,3.63,68.5,0.18,-1.07,0.31,-0.56,127,22,0.49,0.02,0.29,-0.53,-0.19,1.46,-0.11,56.3,80.7
8,2,201305,5.08,72.5,0.8,0.8,1.92,0.8,233,0,0.91,0.82,0.38,0.08,-0.54,1.26,0.22,60.8,84.1
8,2,201306,6.78,80.5,0.97,0.97,0.76,0.97,465,0,0.32,0.73,0.75,0.05,-0.28,-0.23,0.42,71,89.9
8,2,201307,11.65,80.4,2.29,2.29,4.26,2.29,477,0,2,1.61,1.67,1.31,0.53,0.67,0.91,71.8,89
8,2,201308,7.84,81.8,2.25,2.25,0.59,2.25,521,0,0.42,1.59,1.4,1.19,0.85,0.27,1.13,72.7,90.9
8,2,201309,4.15,79,1.56,1.56,-1.37,0.88,420,0,-0.55,-0.24,0.87,1.04,0.52,0.21,1.05,69.7,88.2
8,2,201310,1.43,71.3,0.83,0.83,-1.71,-0.62,209,13,-0.89,-1.11,-0.73,0.68,0.62,0.06,0.84,60.8,81.8
8,2,201311,3.52,62.9,1.04,1.04,0.9,0,69,132,1.04,-0.11,-0.57,0.68,0.63,0.45,0.98,52.8,73.1
8,2,201312,3.18,60.8,0.89,0.89,-0.12,-0.18,67,197,0.24,0.68,0.01,0.66,0.86,0.41,1,49.4,72.1
8,2,201401,5.43,49.3,1.63,1.63,2.48,1.38,15,502,1.17,0.84,1.08,0.17,1.17,1.05,1.34,38,60.6
8,2,201402,4.67,58.1,1.69,1.69,0.7,1.67,40,234,0.7,1.18,0.94,0.23,1.05,0.98,1.52,46.9,69.3
8,2,201403,6.73,59.5,2.29,2.29,2.33,2.29,35,205,1.17,1.21,1.45,1.01,1.32,1.43,1.78,47.8,71.1
8,2,201404,5.62,68.6,2.78,2.78,2.16,2.78,129,21,1.26,1.5,1.56,1.62,1.06,1.7,2,57.1,80.1
8,2,201405,5.36,74.5,3.11,3.11,1.87,3.11,295,0,1.01,1.44,1.71,1.76,1.24,1.7,1.96,63,85.9
8,2,201406,5.21,79.9,-0.15,2.64,-0.45,2.4,447,0,-0.48,0.35,0.91,1.67,1.28,1.59,0.99,69.7,90.1
8,2,201407,6.09,81.4,-0.5,2.01,-1.09,1.27,508,0,-0.56,-0.88,-0.06,1.14,1.39,0.91,1.13,71.6,91.2
8,2,201408,4.86,82.3,-1.22,1.03,-2.33,-0.66,536,0,-1.17,-1.32,-1.41,0.48,0.94,0.56,0.56,72.4,92.1
8,2,201409,10.29,78.4,1,1.92,3,1.39,402,0,1.49,0.68,0.33,0.77,1.45,1.21,1.07,69.9,86.8
8,2,201410,1.49,70.2,0.44,1.27,-1.36,0.22,180,19,-0.85,0.82,0.15,0,0.94,1.28,1,57.8,82.6
8,2,201411,3.64,56.9,1.01,1.75,1.85,1.3,17,260,1.11,-0.04,1.12,-0.04,0.99,1.33,1.34,44.2,69.6
8,2,201412,3.2,58.6,1.02,1.68,0.33,1.27,44,243,0.25,0.72,0.07,0.25,0.63,1.34,1.17,47.7,69.5
8,2,201501,3.65,53.8,1.11,1.71,0.6,1.44,32,379,0.29,0.25,0.66,0.47,0.31,1.13,1.41,42.8,64.8
8,2,201502,3.11,52.2,-0.08,1.45,-0.24,1.03,13,371,-0.09,0.04,0.08,0.8,-0.04,0.86,1.28,40.5,64
8,2,201503,2.11,66.6,-0.75,0.62,-2.04,-0.67,129,80,-0.68,-0.62,-0.37,-0.22,-0.07,0.33,1.25,55.2,78
8,2,201504,3.57,73.1,-0.86,-0.86,-0.56,-0.86,247,0,0.47,-0.23,-0.34,0.16,0.12,0.06,1.23,63.3,82.9
